#{"t_start": 1747857828.8649297, "env_id": "LunarLander-v2"}
r,l,t
-113.649634,69,319.00615
-87.166849,148,320.405314
-284.851708,155,321.863866
-193.789448,107,322.923033
-83.670336,68,323.574952
-95.189485,138,324.897638
-93.00765,122,326.061712
-118.197992,86,326.893602
-71.244241,109,327.973611
-90.568776,83,328.79116
-57.278878,100,329.758717
-74.13887,69,330.419496
-80.669442,69,331.078853
-104.634801,68,331.722606
-141.38876,96,332.677227
-81.446108,77,333.428067
-248.54276,129,334.662484
-57.209371,95,335.574489
-80.16734,58,336.134348
-197.800849,125,337.359198
-144.043068,92,338.242504
-106.068722,93,339.133539
-83.393051,96,340.04878
-210.014211,89,340.898518
-72.855514,73,341.603332
-70.611408,98,342.576072
-39.70868,119,343.710684
-152.886676,116,344.818596
-95.054299,71,345.49259
-62.823515,72,346.184529
-105.752887,113,347.30215
-90.134798,108,348.339556
-277.260197,129,349.573556
-54.419542,85,350.388273
-102.287472,122,351.570149
-117.896505,108,352.635773
-61.427595,86,353.457162
-70.201416,59,354.020904
-54.159906,69,354.67958
-107.541892,84,355.483161
-120.503468,91,356.35819
-128.700026,109,357.441855
-90.320206,79,358.194346
-193.154423,113,359.271832
-247.474366,125,360.473318
-53.278998,103,361.467431
-130.88943,95,362.394084
-224.367297,98,363.340468
-123.674331,122,364.511698
-360.263471,141,365.880565
-48.274606,102,366.896363
-126.632518,83,367.699444
-60.873106,96,368.622922
-19.335921,143,370.001826
-90.91777,76,370.738838
-139.351877,70,371.435757
-264.487112,135,372.807472
-120.125469,112,373.92326
-123.019964,86,374.78533
-147.078741,106,375.991586
-138.075644,90,377.002956
-177.40215,98,377.996428
-60.850945,104,379.034075
-98.187635,117,380.191621
-63.909488,96,381.200799
-120.412385,119,382.408383
-80.054156,65,383.072339
-129.08236,110,384.220155
-155.734874,117,385.575254
-99.246985,68,386.381841
-373.943517,127,387.947711
-91.326544,112,389.288158
-97.812466,147,391.060929
-305.726409,99,392.266846
-68.725017,80,393.234338
-120.611712,98,394.408242
-143.394905,99,395.587847
-144.320168,105,396.656319
-102.639767,115,397.832043
-68.091685,86,398.701038
-58.107655,79,399.49078
-82.628297,91,400.397011
-66.576387,125,401.803508
-80.447015,88,402.740089
-79.282225,79,403.532016
-66.01734,127,404.781679
-172.431612,104,405.807509
-52.952155,87,406.665377
-54.204236,122,407.886268
-146.954836,117,409.03954
-242.032427,128,410.295931
-76.144889,117,411.450271
-115.477477,81,412.260974
-106.852471,143,413.686206
-69.192823,96,414.647942
-116.450459,138,416.00739
-189.815043,112,417.136503
-112.174621,80,417.934136
-98.909729,95,418.87178
-140.090269,69,419.553425
-207.444116,96,420.509479
-76.452921,79,421.318585
-101.77432,77,422.141645
-44.060311,72,422.899673
-110.883679,63,423.549393
-119.502182,101,424.590475
-99.481324,101,425.616852
-96.552159,124,426.892869
-86.156266,87,427.789737
-71.32224,70,428.492733
-109.339819,144,429.950949
-46.121545,72,430.681494
-71.196395,98,431.681173
-60.807661,115,432.884705
-122.297413,92,433.811378
-107.539666,87,434.692977
-99.398202,71,435.411614
-72.485309,124,436.67644
-101.467983,79,437.504266
-267.16995,89,438.407881
-198.288459,100,439.426026
-92.578913,113,440.570564
-88.706495,107,441.66947
-63.634271,68,442.377474
-264.743117,115,443.537469
-77.016326,81,444.361142
-270.550525,90,445.27191
-86.696088,71,445.989997
-53.978739,117,447.227493
-58.935725,70,447.934932
-33.286354,145,449.414674
-124.477643,101,450.442491
-135.923055,73,451.187762
-19.813593,99,452.220693
-102.61784,102,453.263211
-289.446527,75,454.028901
13.193436,97,455.007159
-167.878682,145,456.507101
-207.518916,126,457.785782
-81.346251,74,458.533149
-104.062998,102,459.573642
-81.053916,86,460.452382
-91.805494,81,461.294682
-110.922225,94,462.256838
-152.447227,119,463.469359
-53.825654,110,464.576045
-96.513909,59,465.171955
-105.261237,105,466.255165
-136.390666,86,467.133978
-24.371043,147,468.611521
-328.668071,142,470.057422
-125.004834,76,470.838024
-66.130762,176,472.645155
-252.58669,119,473.846036
-232.562119,111,474.967334
-58.8282,75,475.740314
-87.074769,101,476.810421
-68.841703,132,478.144165
-78.788607,97,479.126825
-151.115292,124,480.369075
-64.226291,93,481.350537
-68.875207,121,482.568905
-87.440683,75,483.331189
-75.532194,116,484.503719
-43.913137,95,485.473138
-102.267865,119,486.708761
-119.175409,76,487.479357
-22.503175,89,488.39164
-48.514196,88,489.283479
-149.873459,67,489.958033
-176.695139,74,490.734073
-300.964636,119,491.950069
-81.179234,141,493.397277
-52.073003,87,494.289552
-79.340623,122,495.550261
-61.420127,96,496.549267
-84.012534,132,497.890145
-157.894953,134,499.259421
-77.47666,66,499.924472
-163.732029,111,501.090557
